v_name,v_cat,avg_dist_2_neighborhood,cnt_near_neighborhood,restaurant_id
"Maxima Restaurant, L.P",Food,403.0,1,4f32059819833175d60a88e7
Pique Restaurant,Mexican Restaurant,389.0,1,571ac531498e8b42afd39cea
New Xing Wang Chinese Restaurant,Chinese Restaurant,354.0,1,4c87c9930dcb8cfa68e63d68
Golden House Chinese Restaurant,Chinese Restaurant,437.0,1,4e4d0390bd413c4cc66dfdcc
Mar y Tierra Restaurant and Lounge,Mexican Restaurant,469.0,2,4f0f71a1e4b061b771f6b4a6
New China-Chinese Restaurant,Chinese Restaurant,483.0,2,4c47765e19fde21e88630876
New King Wah Chinese Restaurant,Chinese Restaurant,612.0,1,50427f2be4b08ae7ca581e5a
Jerome's Pizza,Pizza Place,687.0,2,4afac66af964a520a11822e3
Bronx African American Restaurant,Food,545.0,1,4f43556319834bc91f560c54
Rainbow Diner & Restaurant,Diner,780.0,1,4eabc5ef0aafb00bd91ad13b
Sing Wok Kitchen,Chinese Restaurant,646.5,2,4f0b1638e4b000dd7818e8fe
Obaapa African Restaurant,African Restaurant,646.0,2,5b62cbb27e4b4e002415ec21
Anthonys Restaurant,Food,629.0,1,4f329da719836c91c7e918c6
Zhu Yuan Chinese Restaurant,Chinese Restaurant,785.0,1,4e4d0383bd413c4cc66dfd4c
Dishari Japanese Restaurant,Food Service,878.0,1,590e33c112f0a95ea986ae5e
Los Girasoles Restaurant,Food,874.0,1,4f325ac219836c91c7cf8b8a
Accra Restaurant - Davidson,Restaurant,251.0,1,57eab8ad498ee233a1334637
Paraiso Restaurant,Food,261.0,1,4f324f3719836c91c7cb09ce
junior Restaurant,Bar,271.0,1,5292aa6611d23c401cedaeee
La Jaiba Restaurant,Latin American Restaurant,296.0,1,4e4cfe94bd413c4cc66dd643
Peacock Restaurant,Chinese Restaurant,605.0,1,4e4d0488bd413c4cc66e061d
Las Palomas Mexican Restaurant,Mexican Restaurant,358.0,1,4f91ac4ee4b08d59078c57d2
El Paraiso Restaurant,Food,404.0,1,4f3261b319836c91c7d2425d
La Morena Food Restaurant,Food,411.0,1,4f3291d719836c91c7e4a452
Tacos Puebla Restaurant,Mexican Restaurant,697.0,1,4d2509f910a7721e3ffa1104
Estrelittas Restaurant,Food,615.0,1,4f329ec819836c91c7e97efd
El Nuevo Mangu' Restaurant,Mexican Restaurant,615.0,1,4e4cfe9abd413c4cc66dd67f
Pancho Villa Restaurant,Mexican Restaurant,648.0,1,5813241738faf02a019627a9
Celia's Restaurant Bar & Grill,Latin American Restaurant,810.0,1,54f8a514498e29c35a1dfc23
Casa Clema Restaurant & Bar,Latin American Restaurant,212.0,1,5c12836f8a4cf5002cced352
GREAT WALL CHINESE RESTAURANT,Chinese Restaurant,281.0,1,4e1f2bc262e19e27e2510f0a
New Maya Restaurant,Food,579.0,1,4f321d5919836c91c7b76038
Mi Reina Restaurant,Food,590.5,2,4f321a3e19836c91c7b616fc
Delgado Restaurant,Food,603.0,2,4f321f9319836c91c7b84d91
New Peking Restaurant,Chinese Restaurant,657.5,2,4e4cfe98bd413c4cc66dd66f
Running Cool Restaurant,Caribbean Restaurant,697.5,2,4e4fb53518a8af30fd88652d
Lupita's Mexican Restaurant,Mexican Restaurant,676.5,2,57d9dede498ef56d37f4de5a
merry land Chinese restaurant,Chinese Restaurant,227.0,1,52094c6611d2a5974124bdf3
Szechuan Garden Chinese Restaurant,Chinese Restaurant,203.0,1,4e4d03bbbd413c4cc66dff4e
El Puente Restaurant,General Entertainment,230.0,1,51a192d7498e3fadce36c1be
Lulo Restaurant,Restaurant,702.0,2,51bb6825498ed58abb163838
Las Balluena Restaurant,Spanish Restaurant,302.0,1,4f6f26a8e4b0f375fb159f6c
Xin Xing Chinese Restaurant,Chinese Restaurant,326.0,1,4e484885ae60fa72330c9bbc
Boca Restaurant And Lounge,Italian Restaurant,319.0,1,5bb35ead2aff310039539a62
Happy Garden Chinese Restaurant,Chinese Restaurant,334.0,1,4e4cfe8abd413c4cc66dd5e4
Splendid Deli & Restaurant,Deli / Bodega,345.0,1,4e4cfe8ebd413c4cc66dd605
Tulcingo Bakery and Restaurant,Mexican Restaurant,440.0,1,4f46b46fe4b01d17b7c3e694
Mama Lita Restaurant,Mexican Restaurant,368.0,1,5463fb4a498e937395ca5f3c
JJ Restaurant & Cuchifritos,Spanish Restaurant,367.0,1,4d34e4d072a8b1f706c2b4d0
Rainbow Chinese Restaurant,Chinese Restaurant,614.0,1,4ca0f9de03133704368f7fd5
El Valle Restaurant,Restaurant,303.0,1,4b643ec5f964a5202ca62ae3
Cosmos Restaurant,Breakfast Spot,335.0,1,4c9c943e9c48236aaff64eee
Linda's Pizza Restaurant,Pizza Place,319.0,1,4d5e9b061ee8721e02569421
Nice Restaurant,Food,283.0,1,4f327e8919836c91c7dd47f4
Galaxy Chinese Restaurant,Chinese Restaurant,412.0,1,4f3229f819836c91c7bc7688
Exclusive Pizza Restaurant,Pizza Place,452.0,1,4f32a02819836c91c7ea0528
Los Amigos Restaurant,Spanish Restaurant,607.0,1,4ed8f2ae0e61d46ad63398db
P and P West Indian Restaurant,Food,723.0,1,4f325c2819836c91c7d01785
653 Lucky Chinese Restaurant,Asian Restaurant,971.0,1,4ea229f77ee52a35dcca6aa5
Excellent Restaurant,Mexican Restaurant,768.0,1,4c221d9c7e85c9287375bb21
Bravo Pizza Restaurant,Pizza Place,925.0,1,4f322e5719836c91c7be1ce6
S and V Restaurant Equipment,Food,957.0,1,4f32664e19836c91c7d4081f
Golden City,Restaurant,1268.0,1,4cacb05644a8224b5fb73540
Prospect Coffee Shop,Coffee Shop,563.0,2,4baa3cfff964a52081563ae3
Subway Restaurant,Sandwich Place,452.0,2,50b93326e4b0c22ba91b79ac
Bronx Coffee Shop,Food,727.0,2,4f329b4e19836c91c7e8351c
Roy's Restaurant,Latin American Restaurant,452.0,2,51fe6ad8498ee165238b218a
El Batey Restaurant,Food,454.5,2,4f43543219834bc91f5602c2
Wings Chinese Restaurant,Chinese Restaurant,445.5,2,4ccf58277f56a1434cfec6a6
Katina Pizza and Restaurant,Pizza Place,442.0,2,4f32227c19836c91c7b9839f
El Provocon Restaurant,Food,443.0,2,4f3226a019836c91c7bb29af
Gudas Restaurant,Food,565.0,1,4f3248dd19836c91c7c88f79
Ranch Restaurant,Caribbean Restaurant,702.5,2,5b79b0ec2db4a9002c9963b6
Beltraneja Restaurant,Asian Restaurant,446.5,2,4e4e3e6bbd4101d0d7a5ca7c
La Gran Parada Restaurant,Food,447.5,2,4f325c1c19836c91c7d012af
Pollo Campero,Fried Chicken Joint,1180.0,1,5239119611d2627845c5e10a
Total Blend Restaurant,Food,711.0,2,4f32ae3c19836c91c7ef4d46
Lung Fong Chinese Restaurant,Chinese Restaurant,622.0,2,4ed4326f2c5b695abedee221
Gan Sing Restaurant,Food,681.0,2,4f32a77119836c91c7ecc8aa
Timbiriche Restaurant,Food,933.0,1,4f32ae2a19836c91c7ef467b
Wah Mee Chinese Restaurant,Chinese Restaurant,783.0,2,4f3281ca19836c91c7de841d
Lounge & Restaurant,Caribbean Restaurant,540.0,2,5b25394d35d3fc002cd004f5
